team_name,season,player_id,player_position
Atlanta Hawks,2020-21,h/huntede01,SF
Atlanta Hawks,2020-21,k/knighna01,PF
Atlanta Hawks,2020-21,m/mayssk01,SG
Atlanta Hawks,2020-21,o/okongon01,C
Atlanta Hawks,2020-21,r/reddica01,SF
Atlanta Hawks,2020-21,r/rondora01,PG
Atlanta Hawks,2020-21,s/snellto01,SG
Atlanta Hawks,2020-21,w/willilo02,PG
Atlanta Hawks,2020-21,y/youngtr01,PG
Atlanta Hawks,2019-20,b/bembrde01,SG
Atlanta Hawks,2019-20,b/brownch02,SG
Atlanta Hawks,2019-20,c/cartevi01,PF
Atlanta Hawks,2019-20,c/collijo01,PF
Atlanta Hawks,2019-20,c/crabbal01,SG
Atlanta Hawks,2019-20,d/dedmode01,C
Atlanta Hawks,2019-20,f/fernabr01,C
Atlanta Hawks,2019-20,g/goodwbr01,PG
Atlanta Hawks,2019-20,g/grahatr01,SF
Atlanta Hawks,2019-20,h/huertke01,SG
Atlanta Hawks,2019-20,h/huntede01,SF
Atlanta Hawks,2019-20,j/jonesda03,C
Atlanta Hawks,2019-20,l/lenal01,C
Atlanta Hawks,2019-20,p/parkeja01,PF
Atlanta Hawks,2019-20,p/parsoch01,PF
Atlanta Hawks,2019-20,r/reddica01,SF
Atlanta Hawks,2019-20,t/teaguje01,PG
Atlanta Hawks,2019-20,t/turneev01,SG
Atlanta Hawks,2019-20,w/wallaty01,SG
Atlanta Hawks,2019-20,w/watsopa01,SF
Atlanta Hawks,2019-20,y/youngtr01,PG
Atlanta Hawks,2018-19,a/adamsja01,PG
Atlanta Hawks,2018-19,a/anderju01,SF
Atlanta Hawks,2018-19,b/bazemke01,SG
Atlanta Hawks,2018-19,b/bembrde01,SG
Atlanta Hawks,2018-19,c/cartevi01,PF
Atlanta Hawks,2018-19,c/collijo01,PF
Atlanta Hawks,2018-19,d/davisde01,C
Atlanta Hawks,2018-19,d/dedmode01,C
Atlanta Hawks,2018-19,d/dorsety01,SG
Atlanta Hawks,2018-19,h/hamilda02,SG
Atlanta Hawks,2018-19,h/huertke01,SG
Atlanta Hawks,2018-19,h/humphis01,C
Atlanta Hawks,2018-19,j/johnsbj01,SF
Atlanta Hawks,2018-19,l/lenal01,C
Atlanta Hawks,2018-19,l/linje01,PG
Atlanta Hawks,2018-19,p/plumlmi01,C
Atlanta Hawks,2018-19,p/poythal01,PF
Atlanta Hawks,2018-19,p/princta02,SF
Atlanta Hawks,2018-19,s/siberjo01,SG
Atlanta Hawks,2018-19,s/spellom01,PF
Atlanta Hawks,2018-19,y/youngtr01,PG
Atlanta Hawks,2018-19,z/zellety01,C
Atlanta Hawks,2017-18,b/babbilu01,SF
Atlanta Hawks,2017-18,b/bazemke01,SG
Atlanta Hawks,2017-18,b/belinma01,SG
