,id,name,pos,shoots,age,is_alive,height,weight,career length,is_active,has_hall_of_fame,count_allstar,stat_games,stat_points,stat_total_rebounds,stat_assists,stat_field_goal_pct,stat_three_point_field_goal_pct,stat_effective_field_goal_pct,stat_free_throw_pct,stat_efficiency_rating,stat_win_shares
454,m/mcdanja01,Jalen McDaniels,Small Forward,Right,27.953424657534246,True,206,92,6,True,False,0,252.0,6.7,3.3,1.2,44.9,32.2,77.7,51.1,11.0,5.3
455,o/oubreke01,Kelly Oubre Jr.,Small Forward,Left,30.101369863013698,True,203,92,10,True,False,0,667.0,13.3,4.6,1.1,43.9,32.5,75.2,50.8,13.3,25.7
456,s/simmoko01,Kobi Simmons,Point Guard and Shooting Guard,Right,28.53150684931507,True,196,81,4,True,False,0,42.0,5.3,1.5,2.0,41.7,26.9,100.0,44.9,8.3,0.0
457,s/sneedxa01,Xavier Sneed,Small Forward,Right,28.065753424657533,True,196,97,2,True,False,0,13.0,1.7,0.8,0.5,35.0,28.6,100.0,45.0,5.4,0.0
458,c/careyve01,Vernon Carey Jr.,Center,Left,24.882191780821916,True,208,122,3,True,False,0,37.0,1.9,1.4,0.1,47.4,14.3,65.4,48.2,12.5,0.2
459,h/harremo01,Montrezl Harrell,Center and Power Forward,Right,31.96986301369863,True,201,108,8,True,False,0,515.0,12.1,5.0,1.3,61.9,10.8,66.4,62.0,22.3,42.9
460,k/kulboar01,Arnoldas Kulboka,Small Forward,Right,28.027397260273972,True,208,99,1,False,False,0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,-10.7,0.0
461,l/lewissc01,Scottie Lewis,Shooting Guard,Right,25.84109589041096,True,193,85,1,False,False,0,2.0,0.5,0.0,0.5,,,50.0,,14.6,0.0
462,b/biyombi01,Bismack Biyombo,Center,Right,33.38356164383562,True,203,115,14,True,False,0,877.0,5.0,5.8,0.7,53.7,0.0,55.1,53.7,13.0,33.2
463,d/darlina01,Nate Darling,Shooting Guard,Right,27.375342465753423,True,196,90,1,True,False,0,7.0,1.3,0.1,0.1,28.6,28.6,100.0,42.9,8.2,0.0
464,g/grahade01,Devonte' Graham,Point Guard,Right,30.895890410958906,True,185,88,6,True,False,0,336.0,11.1,2.3,4.3,37.1,35.4,81.2,49.1,13.4,12.7
465,m/martica02,Caleb Martin,Small Forward,Right,30.2986301369863,True,196,92,6,True,False,0,340.0,7.8,3.7,1.6,44.5,35.4,73.5,51.7,11.2,12.0
466,m/monkma01,Malik Monk,Shooting Guard,Right,27.942465753424656,True,190,90,8,True,False,0,552.0,12.3,2.6,3.1,43.3,35.3,84.7,52.1,14.2,15.3
467,r/rillegr01,Grant Riller,Point Guard,Right,28.931506849315067,True,188,86,1,True,False,0,7.0,2.6,0.1,0.4,66.7,50.0,,75.0,23.6,0.1
468,z/zelleco01,Cody Zeller,Center,Right,33.27945205479452,True,211,108,11,True,False,0,552.0,7.9,5.7,1.3,52.0,22.0,72.7,52.5,16.1,33.5
469,b/bacondw01,Dwayne Bacon,Shooting Guard,Right,30.378082191780823,True,198,100,4,False,False,0,207.0,7.3,2.6,1.1,40.2,31.4,78.0,44.7,8.9,0.8
470,b/batumni01,Nicolas Batum,"Small Forward, Power Forward, and Shooting Guard",Right,37.09041095890411,True,201,104,17,True,False,0,1165.0,9.8,4.8,3.1,43.6,37.0,83.2,53.4,13.9,74.7
471,c/chealjo01,Joe Chealey,Point Guard,Right,30.205479452054796,True,193,86,2,False,False,0,5.0,0.8,0.0,0.4,10.0,0.0,100.0,10.0,-1.9,-0.1
472,h/hernawi01,Willy HernangÃ³mez,Center,Right,31.638356164383563,True,211,113,7,True,False,0,344.0,7.3,5.8,1.1,53.3,30.6,71.3,54.3,20.2,16.3
473,k/kiddgmi01,Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,32.3041095890411,True,198,104,8,False,False,0,446.0,8.4,5.4,1.2,47.4,27.2,71.5,47.8,13.4,21.0
474,w/willima02,Marvin Williams,Power Forward and Small Forward,Right,39.58082191780822,True,203,107,15,False,False,0,1072.0,10.2,5.2,1.3,44.3,36.1,80.8,50.2,13.6,65.1
475,l/lambje01,Jeremy Lamb,Shooting Guard and Small Forward,Right,33.63013698630137,True,196,81,10,False,False,0,573.0,10.1,3.6,1.6,43.9,34.2,85.7,50.1,15.6,26.8
476,m/macurjp01,J.P. Macura,Shooting Guard,Right,30.613698630136987,True,193,92,2,False,False,0,3.0,2.0,1.0,0.7,33.3,0.0,,33.3,5.4,0.0
477,p/parketo01,Tony Parker,Point Guard,Right,43.673972602739724,True,188,83,18,False,True,6,1254.0,15.5,2.7,5.6,49.1,32.4,75.1,50.8,18.2,111.3
478,c/cartemi01,Michael Carter-Williams,Point Guard and Shooting Guard,Right,34.26849315068493,True,198,92,9,True,False,0,395.0,10.2,4.3,4.3,40.2,25.6,70.5,42.6,13.5,6.6
479,m/mathima01,Mangok Mathiang,Center,Right,33.271232876712325,True,208,104,1,False,False,0,4.0,2.0,2.5,0.0,57.1,,0.0,57.1,18.0,0.1
480,o/obryajo01,Johnny O'Bryant,Power Forward,Right,32.62465753424657,True,206,116,4,False,False,0,147.0,3.5,2.4,0.5,40.2,36.0,66.3,41.9,8.0,0.2
481,p/paigema01,Marcus Paige,Point Guard,Left,32.345205479452055,True,183,74,1,False,False,0,5.0,2.4,0.8,0.6,28.6,25.0,100.0,35.7,9.1,0.0
482,s/stoneju01,Julyan Stone,Shooting Guard and Point Guard,Right,37.10958904109589,True,198,90,4,False,False,0,70.0,1.1,1.1,1.1,44.4,31.3,70.0,52.4,9.5,0.9
483,h/harriaa01,Aaron Harrison,Shooting Guard,Right,31.216438356164385,True,198,95,3,False,False,0,35.0,2.3,1.2,0.5,26.1,21.8,61.3,32.6,4.5,-0.1
484,h/hawessp01,Spencer Hawes,Center and Power Forward,Right,37.72054794520548,True,216,111,10,False,False,0,684.0,8.7,5.7,1.9,45.7,35.0,71.6,49.0,14.0,22.6
485,h/hibbero01,Roy Hibbert,Center,Right,39.1013698630137,True,218,122,9,False,False,2,662.0,10.0,6.3,1.3,46.5,25.0,75.5,46.5,15.5,35.9
486,r/roberbr01,Brian Roberts,Point Guard,Right,40.12328767123287,True,185,78,5,False,False,0,314.0,6.6,1.3,2.3,41.1,35.6,90.8,47.1,13.0,7.4
487,s/sessira01,Ramon Sessions,Point Guard and Shooting Guard,Right,39.76986301369863,True,190,86,11,False,False,0,691.0,10.3,2.7,4.1,43.4,31.6,79.1,45.3,15.9,28.8
488,t/tobeymi01,Mike Tobey,Center,Right,31.265753424657536,True,213,117,1,False,False,0,2.0,1.0,1.5,0.5,25.0,,,25.0,-0.1,0.0
489,w/weberbr01,Briante Weber,Point Guard,Right,33.04657534246575,True,188,77,3,False,False,0,45.0,3.2,1.9,1.4,40.8,19.2,73.3,42.6,10.1,0.6
490,w/woodch01,Christian Wood,Power Forward and Center,Right,30.301369863013697,True,203,97,8,True,False,0,339.0,13.6,7.0,1.4,51.4,37.2,69.4,57.8,19.5,20.0
491,d/danietr01,Troy Daniels,Shooting Guard,Right,34.50684931506849,True,193,90,7,False,False,0,339.0,6.6,1.3,0.5,40.1,39.5,79.9,54.6,10.4,5.1
492,g/gutiejo01,Jorge GutiÃ©rrez,Point Guard,Right,37.054794520547944,True,190,86,3,False,False,0,47.0,2.9,1.1,1.5,50.0,17.6,77.8,51.4,10.9,0.8
493,h/hairspj02,P.J. Hairston,Small Forward and Shooting Guard,Right,33.06027397260274,True,198,104,2,False,False,0,111.0,6.0,2.4,0.5,34.3,29.5,81.0,43.1,7.6,0.9
494,h/hansbty01,Tyler Hansbrough,Power Forward,Right,40.205479452054796,True,206,113,7,False,False,0,428.0,6.7,4.2,0.4,43.9,13.6,73.8,44.0,14.8,20.2
