player_id,won_at_age,season,rank,team,player_position,points
m/moranja01,22,2021-2022,16,MEM,PG,1564
b/brownja02,25,2021-2022,17,BOS,SF,1559
s/siakapa01,27,2021-2022,18,TOR,PF,1551
e/edwaran01,20,2021-2022,19,MIN,SG,1533
b/ballla01,20,2021-2022,20,CHO,PG,1508
g/garlada01,22,2021-2022,21,CLE,PG,1473
r/randlju01,27,2021-2022,22,NYK,PF,1447
w/westbru01,33,2021-2022,23,LAL,PG,1441
m/murrade01,25,2021-2022,24,SAS,PG,1438
h/hardeja01,32,2021-2022,25,2TM,PG,1432
r/roziete01,27,2021-2022,26,CHO,SG,1408
p/poolejo01,22,2021-2022,27,GSW,SG,1405
b/barrerj01,21,2021-2022,28,NYK,SF,1402
b/banede01,23,2021-2022,29,MEM,SG,1384
g/gilgesh01,23,2021-2022,30,OKC,PG,1371
m/mccolcj01,30,2021-2022,31,2TM,PG,1370
f/foxde01,24,2021-2022,32,SAC,PG,1367
h/herroty01,22,2021-2022,33,MIA,SG,1367
m/middlkh01,30,2021-2022,34,MIL,SF,1325
b/beysa01,22,2021-2022,35,DET,SF,1321
v/vanvlfr01,27,2021-2022,36,TOR,PG,1320
v/valanjo01,29,2021-2022,37,NOP,C,1314
m/maxeyty01,21,2021-2022,38,PHI,PG,1311
v/vucevni01,31,2021-2022,39,CHI,C,1288
b/brunsja01,25,2021-2022,40,DAL,SG,1285
t/trentga02,23,2021-2022,41,TOR,SG,1283
j/johnske04,22,2021-2022,42,SAS,SF,1278
j/jacksja02,22,2021-2022,43,MEM,PF,1272
c/clarkjo01,29,2021-2022,44,UTA,SG,1266
b/barneha02,29,2021-2022,45,SAC,PF,1265
h/hieldbu01,29,2021-2022,46,2TM,SG,1265
j/jacksre01,31,2021-2022,47,LAC,SG,1263
h/harrito02,29,2021-2022,48,PHI,PF,1257
w/wiggian01,26,2021-2022,49,GSW,SF,1256
b/bogdabo02,32,2021-2022,50,UTA,PF,1248
t/tatumja01,24,2022-2023,1,BOS,SF,2225
e/embiijo01,28,2022-2023,2,PHI,C,2183
d/doncilu01,23,2022-2023,3,DAL,PG,2138
g/gilgesh01,24,2022-2023,4,OKC,PG,2135
a/antetgi01,28,2022-2023,5,MIL,PF,1959
e/edwaran01,21,2022-2023,6,MIN,SG,1946
r/randlju01,28,2022-2023,7,NYK,PF,1936
m/mitchdo01,26,2022-2023,8,CLE,SG,1922
y/youngtr01,24,2022-2023,9,ATL,PG,1914
l/lavinza01,27,2022-2023,10,CHI,SG,1913
l/lillada01,32,2022-2023,11,POR,PG,1866
f/foxde01,25,2022-2023,12,SAC,PG,1826
d/derozde01,33,2022-2023,13,CHI,SF,1816
b/brownja02,26,2022-2023,14,BOS,SF,1784
s/siakapa01,28,2022-2023,15,TOR,PF,1720
m/markkla01,25,2022-2023,16,UTA,PF,1691
j/jokicni01,27,2022-2023,17,DEN,C,1690
g/greenja05,20,2022-2023,18,HOU,SG,1683
p/poolejo01,23,2022-2023,19,GSW,PG,1675
b/bridgmi01,26,2022-2023,20,2TM,SG,1671
c/curryst01,34,2022-2023,21,GSW,PG,1648
b/brunsja01,26,2022-2023,22,NYK,PG,1633
i/irvinky01,30,2022-2023,23,2TM,SG,1623
m/moranja01,23,2022-2023,24,MEM,PG,1596
j/jamesle01,38,2022-2023,25,LAL,PF,1590
m/mccolcj01,31,2022-2023,26,NOP,PG,1568
a/adebaba01,25,2022-2023,27,MIA,C,1529
m/murrade01,26,2022-2023,28,ATL,SG,1515
s/sabondo01,26,2022-2023,29,SAC,C,1510
t/thompkl01,32,2022-2023,30,GSW,SF,1509
p/porzikr01,27,2022-2023,31,WAS,C,1505
g/garlada01,23,2022-2023,32,CLE,PG,1490
w/wagnefr01,21,2022-2023,33,ORL,SF,1485
b/bookede01,26,2022-2023,34,PHO,SG,1471
b/butleji01,33,2022-2023,35,MIA,PF,1466
d/davisan02,29,2022-2023,36,LAL,C,1451
v/vucevni01,32,2022-2023,37,CHI,C,1447
b/banchpa01,20,2022-2023,38,ORL,PF,1437
b/barrerj01,22,2022-2023,39,NYK,SG,1431
j/johnske04,23,2022-2023,40,SAS,SF,1385
d/dinwisp01,29,2022-2023,41,2TM,SG,1369
d/duranke01,34,2022-2023,42,2TM,PF,1366
k/kuzmaky01,27,2022-2023,43,WAS,PF,1357
h/herroty01,23,2022-2023,44,MIA,SG,1347
h/hieldbu01,30,2022-2023,45,IND,SF,1344
v/vanvlfr01,28,2022-2023,46,TOR,PG,1335
g/georgpa01,32,2022-2023,47,LAC,SF,1332
r/roziete01,28,2022-2023,48,CHO,SG,1329
s/simonan01,23,2022-2023,49,POR,SG,1306
m/mathube01,20,2022-2023,50,IND,SG,1302
d/doncilu01,24,2023-2024,1,DAL,PG,2370
g/gilgesh01,25,2023-2024,2,OKC,PG,2254
a/antetgi01,29,2023-2024,3,MIL,PF,2222
b/brunsja01,27,2023-2024,4,NYK,PG,2212
j/jokicni01,28,2023-2024,5,DEN,C,2085
e/edwaran01,22,2023-2024,6,MIN,SG,2049
d/duranke01,35,2023-2024,7,PHO,PF,2032
t/tatumja01,25,2023-2024,8,BOS,PF,1987
f/foxde01,26,2023-2024,9,SAC,PG,1966
c/curryst01,35,2023-2024,10,GSW,PG,1956
d/derozde01,34,2023-2024,11,CHI,SF,1897
d/davisan02,30,2023-2024,12,LAL,C,1876
b/bookede01,27,2023-2024,13,PHO,PG,1841
j/jamesle01,39,2023-2024,14,LAL,PF,1822
m/maxeyty01,23,2023-2024,15,PHI,PG,1816
b/banchpa01,21,2023-2024,16,ORL,PF,1804
l/lillada01,33,2023-2024,17,MIL,PG,1775
m/murrade01,27,2023-2024,18,ATL,SG,1753
s/siakapa01,29,2023-2024,19,2TM,PF,1737
g/georgpa01,33,2023-2024,20,LAC,PF,1671
l/leonaka01,32,2023-2024,21,LAC,SF,1613
b/brownja02,27,2023-2024,22,BOS,SF,1610
g/greenja05,21,2023-2024,23,HOU,SG,1610
b/bridgmi01,27,2023-2024,24,BRK,SF,1606
w/willizi01,23,2023-2024,25,NOP,PF,1601
s/sabondo01,27,2023-2024,26,SAC,C,1593
k/kuzmaky01,28,2023-2024,27,WAS,PF,1553
w/wembavi01,20,2023-2024,28,SAS,C,1522
w/whiteco01,23,2023-2024,29,CHI,PG,1509
i/irvinky01,31,2023-2024,30,DAL,SG,1487
j/jacksja02,24,2023-2024,31,MEM,C,1486
t/thomaca02,22,2023-2024,32,BRK,SG,1482
m/mitchdo01,27,2023-2024,33,CLE,SG,1463
s/sextoco01,25,2023-2024,34,UTA,SG,1458
b/bridgmi02,25,2023-2024,35,CHO,SF,1449
w/wagnefr01,22,2023-2024,36,ORL,SF,1421
c/cunnica01,22,2023-2024,37,DET,PG,1405
h/halibty01,23,2023-2024,38,IND,PG,1389
y/youngtr01,25,2023-2024,39,ATL,PG,1389
t/thompkl01,33,2023-2024,40,GSW,SF,1375
v/vucevni01,33,2023-2024,41,CHI,C,1370
r/russeda01,27,2023-2024,42,LAL,PG,1369
a/adebaba01,26,2023-2024,43,MIA,C,1367
h/holmgch01,21,2023-2024,44,OKC,C,1357
p/poolejo01,24,2023-2024,45,WAS,SG,1356
p/portemi01,25,2023-2024,46,DEN,SF,1356
w/willija06,22,2023-2024,47,OKC,PF,1355
e/embiijo01,29,2023-2024,48,PHI,C,1353
t/townska01,28,2023-2024,49,MIN,PF,1349
b/bogdabo01,31,2023-2024,50,ATL,SG,1333
