team_name,season,player_name,player_id,player_position
Atlanta Hawks,2021-22,Skylar Mays,m/mayssk01,SG
Atlanta Hawks,2021-22,Onyeka Okongwu,o/okongon01,C
Atlanta Hawks,2021-22,Cameron Oliver,o/oliveca01,SF
Atlanta Hawks,2021-22,Cam Reddish,r/reddica01,SF
Atlanta Hawks,2021-22,Lance Stephenson,s/stephla01,SG
Atlanta Hawks,2021-22,Lou Williams,w/willilo02,PG
Atlanta Hawks,2021-22,Delon Wright,w/wrighde01,SG
Atlanta Hawks,2021-22,Trae Young,y/youngtr01,PG
Atlanta Hawks,2020-21,Bogdan Bogdanović,b/bogdabo01,SG
Atlanta Hawks,2020-21,Clint Capela,c/capelca01,C
Atlanta Hawks,2020-21,John Collins,c/collijo01,PF
Atlanta Hawks,2020-21,Kris Dunn,d/dunnkr01,PG
Atlanta Hawks,2020-21,Bruno Fernando,f/fernabr01,C
Atlanta Hawks,2020-21,Danilo Gallinari,g/gallida01,PF
Atlanta Hawks,2020-21,Brandon Goodwin,g/goodwbr01,PG
Atlanta Hawks,2020-21,Solomon Hill,h/hillso01,PF
Atlanta Hawks,2020-21,Kevin Huerter,h/huertke01,SG
Atlanta Hawks,2020-21,De'Andre Hunter,h/huntede01,SF
Atlanta Hawks,2020-21,Nathan Knight,k/knighna01,PF
Atlanta Hawks,2020-21,Skylar Mays,m/mayssk01,SG
Atlanta Hawks,2020-21,Onyeka Okongwu,o/okongon01,C
Atlanta Hawks,2020-21,Cam Reddish,r/reddica01,SF
Atlanta Hawks,2020-21,Rajon Rondo,r/rondora01,PG
Atlanta Hawks,2020-21,Tony Snell,s/snellto01,SG
Atlanta Hawks,2020-21,Lou Williams,w/willilo02,PG
Atlanta Hawks,2020-21,Trae Young,y/youngtr01,PG
Atlanta Hawks,2019-20,DeAndre' Bembry,b/bembrde01,SG
Atlanta Hawks,2019-20,Charlie Brown Jr.,b/brownch02,SG
Atlanta Hawks,2019-20,Vince Carter,c/cartevi01,PF
Atlanta Hawks,2019-20,John Collins,c/collijo01,PF
Atlanta Hawks,2019-20,Allen Crabbe,c/crabbal01,SG
Atlanta Hawks,2019-20,Dewayne Dedmon,d/dedmode01,C
Atlanta Hawks,2019-20,Bruno Fernando,f/fernabr01,C
Atlanta Hawks,2019-20,Brandon Goodwin,g/goodwbr01,PG
Atlanta Hawks,2019-20,Treveon Graham,g/grahatr01,SF
Atlanta Hawks,2019-20,Kevin Huerter,h/huertke01,SG
Atlanta Hawks,2019-20,De'Andre Hunter,h/huntede01,SF
Atlanta Hawks,2019-20,Damian Jones,j/jonesda03,C
Atlanta Hawks,2019-20,Alex Len,l/lenal01,C
Atlanta Hawks,2019-20,Jabari Parker,p/parkeja01,PF
Atlanta Hawks,2019-20,Chandler Parsons,p/parsoch01,PF
Atlanta Hawks,2019-20,Cam Reddish,r/reddica01,SF
Atlanta Hawks,2019-20,Jeff Teague,t/teaguje01,PG
Atlanta Hawks,2019-20,Evan Turner,t/turneev01,SG
Atlanta Hawks,2019-20,Tyrone Wallace,w/wallaty01,SG
Atlanta Hawks,2019-20,Paul Watson,w/watsopa01,SF
Atlanta Hawks,2019-20,Trae Young,y/youngtr01,PG
Atlanta Hawks,2018-19,Jaylen Adams,a/adamsja01,PG
Atlanta Hawks,2018-19,Justin Anderson,a/anderju01,SF
Atlanta Hawks,2018-19,Kent Bazemore,b/bazemke01,SG
Atlanta Hawks,2018-19,DeAndre' Bembry,b/bembrde01,SG
Atlanta Hawks,2018-19,Vince Carter,c/cartevi01,PF
Atlanta Hawks,2018-19,John Collins,c/collijo01,PF
Atlanta Hawks,2018-19,Deyonta Davis,d/davisde01,C
Atlanta Hawks,2018-19,Dewayne Dedmon,d/dedmode01,C
Atlanta Hawks,2018-19,Tyler Dorsey,d/dorsety01,SG
Atlanta Hawks,2018-19,Daniel Hamilton,h/hamilda02,SG
Atlanta Hawks,2018-19,Kevin Huerter,h/huertke01,SG
Atlanta Hawks,2018-19,Isaac Humphries,h/humphis01,C
Atlanta Hawks,2018-19,B.J. Johnson,j/johnsbj01,SF
Atlanta Hawks,2018-19,Alex Len,l/lenal01,C
Atlanta Hawks,2018-19,Jeremy Lin,l/linje01,PG
Atlanta Hawks,2018-19,Miles Plumlee,p/plumlmi01,C
Atlanta Hawks,2018-19,Alex Poythress,p/poythal01,PF
Atlanta Hawks,2018-19,Taurean Prince,p/princta02,SF
Atlanta Hawks,2018-19,Jordan Sibert,s/siberjo01,SG
Atlanta Hawks,2018-19,Omari Spellman,s/spellom01,PF
Atlanta Hawks,2018-19,Trae Young,y/youngtr01,PG
Atlanta Hawks,2018-19,Tyler Zeller,z/zellety01,C
Atlanta Hawks,2017-18,Luke Babbitt,b/babbilu01,SF
Atlanta Hawks,2017-18,Kent Bazemore,b/bazemke01,SG
Atlanta Hawks,2017-18,Marco Belinelli,b/belinma01,SG
Atlanta Hawks,2017-18,DeAndre' Bembry,b/bembrde01,SF
Atlanta Hawks,2017-18,Nicolás Brussino,b/brussni01,SF
Atlanta Hawks,2017-18,Tyler Cavanaugh,c/cavanty01,PF
Atlanta Hawks,2017-18,Antonius Cleveland,c/clevean01,SG
Atlanta Hawks,2017-18,John Collins,c/collijo01,PF
Atlanta Hawks,2017-18,Dewayne Dedmon,d/dedmode01,C
Atlanta Hawks,2017-18,Malcolm Delaney,d/delanma01,PG
Atlanta Hawks,2017-18,Tyler Dorsey,d/dorsety01,SG
Atlanta Hawks,2017-18,Jeremy Evans,e/evansje01,SF
Atlanta Hawks,2017-18,Ersan İlyasova,i/ilyaser01,PF
Atlanta Hawks,2017-18,Damion Lee,l/leeda03,SG
Atlanta Hawks,2017-18,Josh Magette,m/magetjo01,PG
Atlanta Hawks,2017-18,Jaylen Morris,m/morrija01,SG
Atlanta Hawks,2017-18,Mike Muscala,m/muscami01,C
Atlanta Hawks,2017-18,Miles Plumlee,p/plumlmi01,C
Atlanta Hawks,2017-18,Taurean Prince,p/princta02,SF
Atlanta Hawks,2017-18,Dennis Schröder,s/schrode01,PG
Atlanta Hawks,2017-18,Isaiah Taylor,t/taylois01,PG
Atlanta Hawks,2017-18,Andrew White,w/whitean01,SF
Atlanta Hawks,2016-17,Kent Bazemore,b/bazemke01,SF
Atlanta Hawks,2016-17,DeAndre' Bembry,b/bembrde01,SF
Atlanta Hawks,2016-17,José Calderón,c/caldejo01,PG
Atlanta Hawks,2016-17,Malcolm Delaney,d/delanma01,PG
Atlanta Hawks,2016-17,Mike Dunleavy,d/dunlemi02,SF
Atlanta Hawks,2016-17,Tim Hardaway Jr.,h/hardati02,SG
Atlanta Hawks,2016-17,Dwight Howard,h/howardw01,C
Atlanta Hawks,2016-17,Kris Humphries,h/humphkr01,PF
Atlanta Hawks,2016-17,Ersan İlyasova,i/ilyaser01,PF
Atlanta Hawks,2016-17,Ryan Kelly,k/kellyry01,PF
Atlanta Hawks,2016-17,Kyle Korver,k/korveky01,SG
Atlanta Hawks,2016-17,Paul Millsap,m/millspa01,PF
Atlanta Hawks,2016-17,Mike Muscala,m/muscami01,C
Atlanta Hawks,2016-17,Gary Neal,n/nealga01,SG
Atlanta Hawks,2016-17,Lamar Patterson,p/pattela01,SG
Atlanta Hawks,2016-17,Taurean Prince,p/princta02,SF
Atlanta Hawks,2016-17,Dennis Schröder,s/schrode01,PG
Atlanta Hawks,2016-17,Mike Scott,s/scottmi01,PF
Atlanta Hawks,2016-17,Thabo Sefolosha,s/sefolth01,SF
Atlanta Hawks,2016-17,Edy Tavares,t/tavarwa01,C
Atlanta Hawks,2015-16,Kent Bazemore,b/bazemke01,SF
Atlanta Hawks,2015-16,Tim Hardaway Jr.,h/hardati02,SG
Atlanta Hawks,2015-16,Kirk Hinrich,h/hinriki01,PG
Atlanta Hawks,2015-16,Justin Holiday,h/holidju01,SG
Atlanta Hawks,2015-16,Al Horford,h/horfoal01,C
Atlanta Hawks,2015-16,Kris Humphries,h/humphkr01,PF
Atlanta Hawks,2015-16,Kyle Korver,k/korveky01,SG
Atlanta Hawks,2015-16,Shelvin Mack,m/macksh01,PG
Atlanta Hawks,2015-16,Paul Millsap,m/millspa01,PF
Atlanta Hawks,2015-16,Mike Muscala,m/muscami01,C
Atlanta Hawks,2015-16,Lamar Patterson,p/pattela01,SG
Atlanta Hawks,2015-16,Dennis Schröder,s/schrode01,PG
Atlanta Hawks,2015-16,Mike Scott,s/scottmi01,PF
Atlanta Hawks,2015-16,Thabo Sefolosha,s/sefolth01,SF
Atlanta Hawks,2015-16,Tiago Splitter,s/splitti01,C
Atlanta Hawks,2015-16,Edy Tavares,t/tavarwa01,C
Atlanta Hawks,2015-16,Jeff Teague,t/teaguje01,PG
Boston Celtics,2025-26,Payton Pritchard,p/pritcpa01,PG
Boston Celtics,2025-26,Anfernee Simons,s/simonan01,SG
Boston Celtics,2025-26,Sam Hauser,h/hausesa01,PF
Boston Celtics,2025-26,Derrick White,w/whitede01,SG
Boston Celtics,2025-26,Jaylen Brown,b/brownja02,SF
Boston Celtics,2025-26,Neemias Queta,q/quetane01,C
Boston Celtics,2025-26,Baylor Scheierman,s/scheiba01,SG
Boston Celtics,2025-26,Jordan Walsh,w/walshjo01,PF
Boston Celtics,2025-26,Josh Minott,m/minotjo01,PF
Boston Celtics,2025-26,Hugo González,g/gonzahu01,SF
Boston Celtics,2025-26,Luka Garza,g/garzalu01,C
Boston Celtics,2025-26,Xavier Tillman Sr.,t/tillmxa01,C
Boston Celtics,2025-26,Chris Boucher,b/bouchch01,PF
Boston Celtics,2025-26,Amari Williams,w/william01,PF
Boston Celtics,2025-26,Ron Harper Jr.,h/harpero02,SF
Boston Celtics,2025-26,Max Shulga,s/shulgma01,SG
Boston Celtics,2025-26,Jayson Tatum,t/tatumja01,PF
Boston Celtics,2024-25,Jaylen Brown,b/brownja02,SF
Boston Celtics,2024-25,Torrey Craig,c/craigto01,SF
Boston Celtics,2024-25,JD Davison,d/davisjd01,PG
Boston Celtics,2024-25,Sam Hauser,h/hausesa01,PF
Boston Celtics,2024-25,Jrue Holiday,h/holidjr01,PG
Boston Celtics,2024-25,Al Horford,h/horfoal01,C
Boston Celtics,2024-25,Luke Kornet,k/kornelu01,C
Boston Celtics,2024-25,Miles Norris,n/norrimi01,PF
Boston Celtics,2024-25,Drew Peterson,p/peterdr01,PF
Boston Celtics,2024-25,Kristaps Porziņģis,p/porzikr01,C
Boston Celtics,2024-25,Payton Pritchard,p/pritcpa01,PG
Boston Celtics,2024-25,Neemias Queta,q/quetane01,C
Boston Celtics,2024-25,Baylor Scheierman,s/scheiba01,SG
Boston Celtics,2024-25,Jaden Springer,s/sprinja01,SG
Boston Celtics,2024-25,Jayson Tatum,t/tatumja01,PF
Boston Celtics,2024-25,Xavier Tillman Sr.,t/tillmxa01,C
Boston Celtics,2024-25,Jordan Walsh,w/walshjo01,PF
Boston Celtics,2024-25,Derrick White,w/whitede01,SG
Boston Celtics,2023-24,Dalano Banton,b/bantoda01,PG
Boston Celtics,2023-24,Oshae Brissett,b/brissos01,SF
Boston Celtics,2023-24,Jaylen Brown,b/brownja02,SF
Boston Celtics,2023-24,JD Davison,d/davisjd01,SG
Boston Celtics,2023-24,Sam Hauser,h/hausesa01,SF
Boston Celtics,2023-24,Jrue Holiday,h/holidjr01,PG
Boston Celtics,2023-24,Al Horford,h/horfoal01,C
Boston Celtics,2023-24,Luke Kornet,k/kornelu01,C
Boston Celtics,2023-24,Svi Mykhailiuk,m/mykhasv01,SF
Boston Celtics,2023-24,Drew Peterson,p/peterdr01,PF
Boston Celtics,2023-24,Kristaps Porziņģis,p/porzikr01,C
Boston Celtics,2023-24,Payton Pritchard,p/pritcpa01,PG
Boston Celtics,2023-24,Neemias Queta,q/quetane01,C
Boston Celtics,2023-24,Jaden Springer,s/sprinja01,SG
Boston Celtics,2023-24,Lamar Stevens,s/stevela01,PF
Boston Celtics,2023-24,Jayson Tatum,t/tatumja01,PF
Boston Celtics,2023-24,Xavier Tillman Sr.,t/tillmxa01,PF
Boston Celtics,2023-24,Jordan Walsh,w/walshjo01,SF
Boston Celtics,2023-24,Derrick White,w/whitede01,SG
Boston Celtics,2022-23,Malcolm Brogdon,b/brogdma01,PG
Boston Celtics,2022-23,Jaylen Brown,b/brownja02,SF
Boston Celtics,2022-23,Justin Champagnie,c/champju01,SF
